date,store_id,sales
2024-10-01,store_001,4856.23
2024-10-02,store_001,5123.45
2024-10-03,store_001,5234.67
2024-10-04,store_001,5567.89
2024-10-05,store_001,6234.12
2024-10-06,store_001,6123.34
2024-10-07,store_001,4567.56
2024-10-08,store_001,4890.78
2024-10-09,store_001,5234.90
2024-10-10,store_001,5456.12
2024-10-11,store_001,5789.34
2024-10-12,store_001,6456.56
2024-10-13,store_001,6234.78
2024-10-14,store_001,4789.90
2024-10-15,store_001,5012.12
2024-10-16,store_001,5345.34
2024-10-17,store_001,5567.56
2024-10-18,store_001,5890.78
2024-10-19,store_001,6567.90
2024-10-20,store_001,6345.12
2024-10-21,store_001,4890.34
2024-10-22,store_001,5123.56
2024-10-23,store_001,5456.78
2024-10-24,store_001,5678.90
2024-10-25,store_001,6012.12
2024-10-26,store_001,6789.34
2024-10-27,store_001,6567.56
2024-10-28,store_001,5012.78
2024-10-29,store_001,5234.90
2024-10-30,store_001,5567.12
2024-10-31,store_001,5789.34
2024-11-01,store_001,6012.56
2024-11-02,store_001,6890.78
2024-11-03,store_001,6678.90
2024-11-04,store_001,5123.12
2024-11-05,store_001,5345.34
2024-11-06,store_001,5678.56
2024-11-07,store_001,5901.78
2024-11-08,store_001,6234.90
2024-11-09,store_001,7012.12
2024-11-10,store_001,6789.34
2024-11-11,store_001,5234.56
2024-11-12,store_001,5456.78
2024-11-13,store_001,5789.90
2024-11-14,store_001,6012.12
2024-11-15,store_001,6345.34
2024-11-16,store_001,7123.56
2024-11-17,store_001,6901.78
2024-11-18,store_001,5345.90
2024-11-19,store_001,5567.12
2024-11-20,store_001,5890.34
2024-11-21,store_001,6123.56
2024-11-22,store_001,6456.78
2024-11-23,store_001,7234.90
2024-11-24,store_001,7012.12
2024-11-25,store_001,5456.34
2024-11-26,store_001,5678.56
2024-11-27,store_001,6012.78
2024-11-28,store_001,6234.90
2024-11-29,store_001,6567.12
2024-11-30,store_001,7345.34
